Loaded 1056 individuals, 377 loci
  BantuKenya            Het=0.7825  Dist=1348 km
  Yoruba                Het=0.7801  Dist=3712 km
  Mandenka              Het=0.7759  Dist=5551 km
  BiakaPygmy            Het=0.7745  Dist=2465 km
  MbutiPygmy            Het=0.7704  Dist=1399 km
  Makrani               Het=0.7628  Dist=5729 km
  San                   Het=0.7624  Dist=3915 km
  Mozabite              Het=0.7623  Dist=4481 km
  Sindhi                Het=0.7591  Dist=6226 km
  Palestinian           Het=0.7576  Dist=2587 km
  Balochi               Het=0.7575  Dist=5866 km
  Bedouin               Het=0.7573  Dist=2477 km
  Pathan                Het=0.7564  Dist=6203 km
  Adygei                Het=0.7547  Dist=4684 km
  Brahui                Het=0.7543  Dist=5866 km
  Tuscan                Het=0.7541  Dist=5143 km
  Russian               Het=0.7536  Dist=6091 km
  Uygur                 Het=0.7533  Dist=7096 km
  French                Het=0.7531  Dist=5882 km
  Hazara                Het=0.7521  Dist=6157 km
  Burusho               Het=0.7505  Dist=6500 km
  Italian               Het=0.7500  Dist=5273 km
  Sardinian             Het=0.7488  Dist=5330 km
  Druze                 Het=0.7484  Dist=2587 km
  Orcadian              Het=0.7470  Dist=6661 km
  Basque                Het=0.7462  Dist=6037 km
  Xibo                  Het=0.7348  Dist=7135 km
  Cambodian             Het=0.7324  Dist=10285 km
  Yi                    Het=0.7320  Dist=9353 km
  Daur                  Het=0.7308  Dist=10237 km
  Mongola               Het=0.7303  Dist=9894 km
  Han-NChina            Het=0.7298  Dist=9524 km
  Tu                    Het=0.7279  Dist=8892 km
  Yakut                 Het=0.7255  Dist=9943 km
  Han                   Het=0.7241  Dist=10156 km
  Oroqen                Het=0.7234  Dist=10319 km
  Dai                   Het=0.7218  Dist=9368 km
  Japanese              Het=0.7212  Dist=11890 km
  Kalash                Het=0.7211  Dist=6278 km
  Hezhen                Het=0.7180  Dist=10921 km
  Tujia                 Het=0.7178  Dist=9857 km
  Miao                  Het=0.7169  Dist=9900 km
  Naxi                  Het=0.7134  Dist=9156 km
  She                   Het=0.7086  Dist=10842 km
  Lahu                  Het=0.6992  Dist=9324 km
  Papuan                Het=0.6982  Dist=15201 km
  Maya                  Het=0.6892  Dist=19850 km
  Melanesian            Het=0.6683  Dist=16193 km
  Pima                  Het=0.6165  Dist=18040 km
  Colombian             Het=0.6154  Dist=22687 km
  Karitiana             Het=0.5710  Dist=24202 km
  Surui                 Het=0.5008  Dist=24354 km
Heterozygosity plot saved to: /expanse/lustre/projects/csd940/zalibhai/clustering-variation/structure_analysis/results/heterozygosity_plot.png
