K,Mean_CV,Std_CV,Min_CV,Max_CV,Mean_LogLik,N_Reps
1,0.253216,0.000009,0.253210,0.253230,-439406767.30,5
2,0.234020,0.000906,0.233600,0.235640,-416737416.68,5
3,0.217052,0.000019,0.217030,0.217080,-396908844.96,5
4,0.212506,0.000011,0.212490,0.212520,-390888352.62,5
5,0.210400,0.000016,0.210380,0.210420,-387705286.93,5
6,0.209262,0.000452,0.209050,0.210070,-385241712.99,5
7,0.208634,0.000019,0.208610,0.208660,-383238692.92,5
8,0.208910,0.000312,0.208480,0.209250,-381982609.51,5
9,0.208972,0.000434,0.208630,0.209490,-380592435.75,5
10,0.209754,0.000507,0.209190,0.210570,-379490623.51,5
